,company_name,reuters_address,description,industry,leadership
590,SINGAPORE PAINCARE HOLDINGS LIMITED,https://www.reuters.com/companies/SPRM.SI,"Singapore Press Holdings Limited is a media company. The Company's businesses include newspapers, magazines, book publishing, online, properties, events/outdoor, radio, student accommodation and healthcare sector. It also runs meal and catering and physiotherapy and rehabilitation services. Its English/Malay/Tamil Media group consists of the print and digital operations of The Straits Times, The Business Times, The New Paper, Berita Harian, and their respective student publications. The Company's businesses also include its subsidiaries Tamil Murasu Ltd, which publishes Tamil Murasu and tabla!; book publishing arm Straits Times Press; SPH Data Services Pte Ltd, which licenses the use of the Straits Times Index in partnership with the Singapore Exchange and FTSE-Russell Ltd; financial data company, ShareInvestor, and the two English stations of SPH Radio, which include Kiss92 and ONE FM 91.3. It provides out-of-home (OOH) advertising options, such as screens and static billboards.",Printing & Publishing,"{""Boon Yang Lee"": ""Non-Executive Independent Chairman of the Board"", ""Yat Chung Ng"": ""Chief Executive Officer, Executive and Non-Independent Director"", ""Kang Uei Tan"": ""Deputy Chief Executive Officer"", ""Hwee Song Chua"": ""Chief Financial Officer"", ""May Ling Lim"": ""General Counsel, Executive Vice-President, Corporate Communications & CSR, and Group Company Secretary""}"
591,SINGAPORE POST LIMITED,https://www.reuters.com/companies/SPOS.SI,"Singapore Post Limited is engaged in the operation and provision of postal, e-commerce logistics and retail services. The Company's subsidiaries are engaged in provision of business mail solutions and distribution of mail, investment holding and provision of electronic platform and recyclable lockers for merchandise distribution. The Company operates through three segments: Mail, Logistics and Retail & eCommerce. The Mail segment provides comprehensive services for collecting, sorting, transporting and distributing domestic and international mail, as well as sale of philatelic products. The Logistics segment provides a range of logistics solutions, comprising freight, warehousing, domestic and international distribution, and delivery services. The Retail & eCommerce segment provides a range of products and services beyond the scope of traditional postal services, including agency services, financial services and front-end e-commerce solutions.",Air Courier,"{""Simon Claude Israel"": ""Non-Executive Non-Independent Chairman of the Board"", ""Paul William Coutts"": ""Group Chief Executive Officer"", ""Tak Loi Lai"": ""Group Chief Financial Officer"", ""Jui-I Lim"": ""Chief Executive Officer - Quantium Solutions"", ""Helen Ng"": ""Chief Executive Officer - Lock+Store""}"
592,SINGAPORE PRESS HLDGS LTD,https://www.reuters.com/companies/SPRM.SI,"Singapore Press Holdings Limited is a media company. The Company's businesses include newspapers, magazines, book publishing, online, properties, events/outdoor, radio, student accommodation and healthcare sector. It also runs meal and catering and physiotherapy and rehabilitation services. Its English/Malay/Tamil Media group consists of the print and digital operations of The Straits Times, The Business Times, The New Paper, Berita Harian, and their respective student publications. The Company's businesses also include its subsidiaries Tamil Murasu Ltd, which publishes Tamil Murasu and tabla!; book publishing arm Straits Times Press; SPH Data Services Pte Ltd, which licenses the use of the Straits Times Index in partnership with the Singapore Exchange and FTSE-Russell Ltd; financial data company, ShareInvestor, and the two English stations of SPH Radio, which include Kiss92 and ONE FM 91.3. It provides out-of-home (OOH) advertising options, such as screens and static billboards.",Printing & Publishing,"{""Boon Yang Lee"": ""Non-Executive Independent Chairman of the Board"", ""Yat Chung Ng"": ""Chief Executive Officer, Executive and Non-Independent Director"", ""Kang Uei Tan"": ""Deputy Chief Executive Officer"", ""Hwee Song Chua"": ""Chief Financial Officer"", ""May Ling Lim"": ""General Counsel, Executive Vice-President, Corporate Communications & CSR, and Group Company Secretary""}"
593,SINGAPORE REINSURANCE COR LTD,https://www.reuters.com/companies/SPRS.SI,"Singapore Reinsurance Corporation Limited is a Singapore-based company, which is engaged in the business of underwriting general reinsurance. The Company operates through two segments: reinsurance and non-reinsurance. The Company's general reinsurance business consists of reinsurance segment. The non-reinsurance segment relates to the Company's investment activities of its non-reinsurance funds and the operations of its subsidiaries. The Company, through its subsidiaries, is engaged in management, computer advisory services and consultancy; publishing of magazines, books and other publications and organizing of conferences, and property management and consultancy services. The Company's subsidiaries include Singapore-Re Management Services Private Limited, INS Communications Private Limited and SR-China Advisory Services Co Ltd.",Insurance (Prop. & Casualty),"{""Ramaswamy Athappan"": ""Non-Executive Non-Independent Chairman of the Board"", ""Sui Ling Theresa Wee"": ""Chief Executive Officer, Chief General Manager"", ""Francis Sandiago Savari"": ""Deputy Chief Executive Officer"", ""Mun Wai Chan"": ""Non-Executive Independent Deputy Chairman of the Board"", ""Tsu Kuang Chin"": ""Chief General Manager - China Affairs""}"
594,SINGAPORE SHIPPING CORP LTD,https://www.reuters.com/companies/SSHP.SI,"Singapore Shipping Corporation Limited is engaged in investment holding. The Company's principal activities include ship owning and ship management; shipping agency and terminal operations, and warehousing and logistics services. It operates through two segments: Ship owning, and Agency and logistics. The Ship owning segment includes ship owning and ship management. The Agency and logistics segment includes shipping agency services, such as arranging for berth application and attending to claims; terminal operations, such as stevedoring services, and warehousing and logistics services, such as cross trade shipment and project management. Its ship owning business consists of vessel fleet, including Boheme, Sirius Leader, Cougar Ace, Capricornus Leader and Taurus Leader. Its services under ship management include technical management, such as maintenance and repair of equipment and machinery; procurement, such as ship stores and spares, and others, such as ship inspection.",Water Transportation,"{""Cheo Guan Ow"": ""Executive Deputy Chairman of the Board"", ""Chio Kiat Ow"": ""Executive Chairman of the Board"", ""Yew Heng Ow"": ""Chief Executive Officer, Executive Director"", ""Li Huang Lee"": ""Chief Financial Officer, Head - Finance, Company Secretary"", ""Bee Lan Lim"": ""Chief Operating Officer""}"
595,SINGAPORE TECH ENGINEERING LTD,https://www.reuters.com/companies/STEG.SI,"Singapore Technologies Engineering Ltd (ST Engineering) is a Singapore-based technology, defense and engineering company. The Company’s segments include Commercial, and Defence and Public Security. The Commercial segment provides aviation services in Aerostructures and Systems, MRO and Aviation Asset Management. It also provides Urban Solutions and Satellite Communications services. The Defence and Public Security segment focuses on serving the needs of its customers in defence and public security as well as critical infrastructure. The Company serves across Asia, Europe, the Middle East and the United States.",Misc. Transportation,"{""Chong Seng Kwa"": ""Independent Non-Executive Chairman of the Board"", ""Sy Feng Chong"": ""Group President, Chief Executive Officer, Executive Director"", ""Chee Keng Foo"": ""Group Chief Financial Officer"", ""Sing Chan Ng"": ""President/Head - Marine"", ""Serh Ghee Lim"": ""Group Chief Operating Ofcer (Operations Excellence) and Chief Commercial Ofcer""}"
596,SINGAPURA FINANCE LTD,https://www.reuters.com/companies/SBDSta.SI,"Singapura Finance Ltd is engaged in finance business. The Company offers personal banking, including savings and fixed deposits, which include savings for juniors, savings for adults, savings for seniors and fixed deposits. The Company's personal deposits include Junior Savers, Adult Savers, Gold Savers, Fixed Deposits and Safe Deposit Box. The Company offers personal loans, such as mortgage loan, car loan, pleasure craft financing, gold share loan and WISE Share Loan. The Company's business banking includes commercial and industrial property financing; equipment and machinery financing; inventory financing; property development financing; commercial vehicle financing; vessel financing, and block discounting. The Company also offers other loans, which include property loans, hire purchase (HP) equipment loans and vessel loans. The Company operates throughout Singapore in Ang Mo Kio, Woodlands, Bedok, Serangoon and Jurong Gateway, among others.",Regional Banks,"{""Chiang Long Teo"": ""Executive Chairman of the Board"", ""Miang Yeow Teo"": ""Chief Executive Officer, Executive Director"", ""Yee Shoon Yu-Foo"": ""Deputy Chairman of the Board"", ""Caroline Barth"": ""Chief Human Resource Officer"", ""Jootian Nguy"": ""General Manager, Company Secretary""}"
597,SINGHAIYI GROUP LTD.,https://www.reuters.com/companies/SIHL.SI,"SingHaiyi Group Ltd. is a real estate company with access to real estate opportunities in Asia and the United States. The principal activities of the Company are those relating to property developers and owners, property managers and investment holding. The Company operates through three segments: Property development; Property investment, and Others. The Property development segment is engaged in the development and sale of development properties. The Property investment segment is engaged in the holding and management of investment properties. The Others segment is engaged in the investment holding and provision of management services. The Company also acts as a holding company and provides management services to its subsidiaries, equity-accounted investees and external parties. The Company has a diversified portfolio of residential, commercial and retail assets. The Company's immediate and ultimate holding company is Haiyi Holdings Pte Ltd.",Real Estate Operations,"{""Neil Bush"": ""Non-Executive Chairman of the Board"", ""Jia Cheun Kok"": ""Chief Financial Officer"", ""Huaidan Chen"": ""Managing Director, Executive Director"", ""Jinshan Mao"": ""Managing Director, US Operations, Executive Director"", ""Hay Kim Ang"": ""General Manager - Corporate Services""}"
598,SINGTEL,https://www.reuters.com/companies/STEL.SI,"Singapore Telecommunications Ltd is a communications technology company. The Company provides a range of telecommunications and digital services to consumers and businesses across Asia, Australia, Africa and the United States. Its segments include Group Consumer, Group Enterprise and Group Digital Life. Consumer segment comprises the consumer businesses across Singapore and Australia, as well as the Company's investments, such as Advanced Info Service Public Company Limited (AIS) in Thailand, Bharti Airtel Limited (Airtel) in India, Africa and South Asia, Globe Telecom, Inc. (Globe) in the Philippines and PT Telekomunikasi Selular (Telkomsel) in Indonesia. Group Enterprise segment comprises the business groups across Singapore, Australia, the United States, Europe and the region, and focuses on the enterprise markets. Group Digital Life segment focuses on using the Internet technologies and assets of the Company's operating companies by entering adjacent businesses.",Communications Services,"{""Lee Theng Kiat"": ""Non-executive non-independent Director"", ""Kuan Moon Yuen"": ""Chief Executive Officer, Executive Director"", ""Lim Cheng Cheng"": ""Group Chief Financial Officer"", ""Murray King"": ""Chief Financial Officer - Optus"", ""York Chye Chang"": ""Chief Executive Officer - Group Enterprise""}"
599,SINJIA LAND LIMITED,https://www.reuters.com/companies/SINJ.SI,"Sinjia Land Limited is an investment holding company. The Company operates through two segments: Hospitality Management and The Corporate. The Hospitality Management segment manages and operates lodging and boarding houses and backpackers hostels. The Corporate segment is involved in Company level corporate services, treasury functions and investments. It manufactures and supplies a range of customized elastomeric components to various industries, principally the office automation, lifestyle products, industrial application, consumer electronics and automotive industries in the Asia. It also invests in fund management. It supports its customers in the region through operating subsidiaries located in Singapore, Indonesia (Batam), Malaysia (Johor) and the People’s Republic of China (Suzhou).",Hotels & Motels,"{""Anhua Li"": ""Independent Non-Executive Chairman of the Board"", ""Weixiong Cheong"": ""Group Chief Executive Officer, Executive Director"", ""Fut Hua Lee"": ""Chief Financial Officer, Company Secretary"", ""Khoon Seng Ng"": ""Acting Group Chief Operating Office"", ""Lai Heng Chua"": ""General Manager - Operations of Elastomeric Group""}"
600,SINO GRANDNESS FOOD IND GP LTD,https://www.reuters.com/companies/SOGFbi.SI,"Sino Grandness Food Industry Group Limited is an investment holding company. The Company is a manufacturer and distributor of own-branded Garden Fresh juices, as well as canned fruits and vegetables. The Company operates through segments, including Manufacturing and sale of canned vegetables and fruits (Grandness segment), and Sales of fruit beverages (Garden Fresh segment). The Company's products include beverage, canned fruits and snacks and canned vegetables. The Company's subsidiary, Shanxi Yongji Huaxin Food Co., Ltd. is engaged in production and sale of canned vegetables and fruits. Its subsidiary Shenzhen Grandness Industry Groups Co., Ltd. is engaged in sale of canned vegetables and fruits. Its subsidiary Garden Fresh (Hubei) Food & Beverage Co., Limited is engaged in production and sale of fruits and vegetable juices.",Food Processing,"{""Yupeng Huang"": ""Executive Chairman of the Board, Chief Executive Officer"", ""Yushan Huang"": ""Executive Director"", ""Tuanbo Li"": ""Chief Technical Officer"", ""Guoming Zhang"": ""Deputy Chief Production Officer"", ""Kok Liang Chew"": ""Company Secretary""}"
601,SINOCLOUD GROUP LIMITED,https://www.reuters.com/companies/SINL.SI,"SinoCloud Group Limited, formerly Armarda Group Limited, is an investment holding company. The Company's segments include provision of IT services, which provides information technology (IT) consultancy services; Trading of IT equipment, which is engaged in trading of IT equipment and radio frequency identification (RFID) chips; Mobile satellite services, which provides mobile satellite communication services and distributes satellite phones, and Internet Data Centre services, which provides Internet data center, cloud computing and big data services in the People's Republic of China (PRC). The Company owns interest in China Satellite Mobile Communications Group Limited (CSMCG), which owns and distributes mobile satellite voice and data services for Thuraya Telecommunications Company. The Company operates in Hong Kong, Singapore and PRC. The Company's subsidiary is SinoCloud Investment Holdings Limited, which is engaged in investment holding.",Computer Networks,"{""Wai Men Chan"": ""Executive Chairman of the Board"", ""Siu Fung Luk"": ""Chief Executive Officer, Executive Director"", ""Yin Ling Chu"": ""Chief Financial Officer, Company Secretary"", ""Norman Cheng"": ""General Manager - Satellite Business"", ""King Fai Chau"": ""Non-Executive Independent Director""}"
602,SINOPEC PETROCHEMICAL ADR 10,https://www.reuters.com/companies/SNP.N,"China Petroleum & Chemical Corporation is a China-based energy and chemical company. The Company's segments include Exploration and Development segment, Refining segment, Marketing and Distribution segment, Chemicals segment, and Corporate and Others segment. Exploration and Development segment explores and develops oil fields, as well as produces crude oil and natural gas. Refining segment processes and purifies crude oil, which is sourced from Exploration and Development segment and external suppliers. Marketing and Distribution segment owns and operates oil depots and service stations in China. Chemical segment manufactures and sells petrochemical products, derivative petrochemical products and other chemical products to external customers.",Retail (Specialty),"{""Yuzhuo Zhang"": ""Chairman of the Board"", ""Yongsheng Ma"": ""President, Director"", ""Dongua Shou"": ""Chief Financial Officer"", ""Yiqun Ling"": ""Senior Vice President, Director"", ""Hongbin Liu"": ""Senior Vice President, Director""}"
603,SINOPIPE HOLDINGS LIMITED,https://www.reuters.com/companies/SPHL.SI,"Sinopipe Holdings Limited is an investment holding company. The Company's segments are plastic pipe and corporate. The plastic pipe segment is involved in the design, manufacture, distribution and installation of plastic pipes and pipefittings for use in various types of piping systems and networks. Its piping systems and networks are used in applications, such as water supply, drainage and sewerage, telecommunication, power supply, water-saving irrigation and gas supply. The corporate segment is involved in group-level corporate services. The Company's water-saving irrigation series includes filters, sprinklers, sprinkling irrigation and root irrigation systems for gardens, golf courses, farmlands, greenhouses, stadiums and nurseries. Its Fuel Gas Series includes transportation of natural and fuel gas. Its products are sold under its registered brand names of Aton and SUN. It has approximately three production facilities in the People's Republic of China.",Fabricated Plastic & Rubber,"{""Sen Wang"": ""Executive Chairman of the Board, Chief Executive Officer"", ""Heng Ching Chew"": ""Non-Executive Independent Deputy Chairman of the Board"", ""Que Chen"": ""Chief Operating Officer"", ""Kong Juan Phang"": ""Financial Controller, Joint Company Secretary"", ""Beng Tiong Soh"": ""Non-Executive Independent Director""}"
604,SINOSTAR PEC HOLDINGS LIMITED,https://www.reuters.com/companies/SNSR.SI,"Sinostar PEC Holdings Limited is a Singapore-based investment holding company. The Company is engaged in producing and supplying downstream petrochemical products. The Company operates in three segments: Gas Separation, Transport & logistic Service, and Others. Gas Separation segment is engaged in the manufacturing and sales of liquefied petroleum gas (LPG), propylene and polypropylene. Transport & logistic Service segment is engaged in the provision of logistics and transportation for petroleum products. Others segment is engaged in the sales of steam to its affiliated companies. It is engaged in the fractionation of raw LPG to produce downstream petrochemicals, namely, propylene, polypropylene and LPG. The Company's products cater to a range of industrial applications and are sold to manufacturers of petrochemicals, plastic products and LPG distributors. Its subsidiaries are Dongming Hengchang Petrochemical Co., Ltd. and Dongming Changshun Transport Company Limited.",Oil & Gas Operations,"{""Xiang Ping Li"": ""Executive Chairman of the Board, Chief Executive Offiver"", ""Tailing Yan"": ""Deputy Chief Executive Officer, Executive Director"", ""Yew Chee Tan"": ""Chief Financial Officer"", ""Yunshan Zhang"": ""Chief Executive Officer of Dongming Runchang Petrochemical Co., Ltd."", ""Guilian Yang"": ""General Manager - Dongming ChangShun Transport Co Limited""}"
605,SITRA HOLDINGS (INTL) LIMITED,https://www.reuters.com/companies/SITR.SI,"Sitra Holdings (International) Limited is a Singapore-based distributor of wood-based products and lifestyle outdoor furniture. The Company is engaged in importing and exporting wood-based, lifestyle furniture and other related products. The Company markets its products under its Comcia, decKING and Pacific brand ranges. The Company's products are categorized into approximately two groups, including wood-based products, such as flooring, a range of fences, decks and deckings systems, and other do-it-yourself (DIY) products, and lifestyle furniture, such as outdoor garden furniture, garden accessories and contract furnishings. The Company has geographical presence in Australia, New Zealand, Europe and Asia. The Company's subsidiaries are E-Timberhub Pte Ltd, Sitra Agencies Pte Ltd, Suncoast Sitra Pte Ltd, Societe 3A and PT Jaya Raya Trasindo, among others. Through PT Jaya Raya Trasindo, it is engaged in manufacturing, supplying and distributing wood-based and other related products.",Furniture & Fixtures,"{""Hua Seng Chew"": ""Non-Executive Chairman of the Board"", ""Wen Wei Yong"": ""Chief Executive Officer"", ""Chiew Siang Steven Chew"": ""Deputy Chief Executive Officer, Chief Operating Officer, Executive Director"", ""Shaozeng Guo"": ""Non-Executive Vice Chairman of the Board"", ""Sook Hwa Lim"": ""Vice President - Group Operations""}"
606,SLB DEVELOPMENT LTD.,https://www.reuters.com/companies/SLBDol.SI,"SLB Development Ltd is a Singapore-based diversified property development company. The Company is engaged in developing and selling residential, industrial, commercial and mixed-use properties. Its portfolio of projects includes about 14 residential, residential pipeline, industrial pipeline, and commercial property developments.",Construction Services,NOT FOUND
607,SOILBUILD CONSTRUCTION GRP LTD,https://www.reuters.com/companies/soil.si,"Soilbuild Construction Group Ltd. is an investment holding company. The Company operates through Singapore and Myanmar segments. The Company, through its subsidiaries, is engaged in various business activities, including building contractors, construction and procurement services, and project and construction management services. It provides various services, such as construction, design and build, turnkey construction, project consultancy, project management, procurement, and mechanical and electrical installation. Its on-going projects include, amongst others, three public housing projects with HDB in Ang Mo Kio, Bukit Batok and Tampines, a research and development building and an industrial building in Changi Business Park, a mixed development at Lavender Street and three ramp-up developments in Bukit Batok, Mandai and Yishun. Its subsidiaries include Soil-Build (Pte.) Ltd., SB Procurement Pte. Ltd., SB Project Services Pte. Ltd. and Soilbuild Construction International Pte. Ltd.",Construction Services,"{""Chap Huat Lim"": ""Executive Chairman of the Board"", ""Soocelaraj Ganessaraj"": ""Chief Executive Officer"", ""Yoon Thim Wong"": ""Group Chief Financial Officer"", ""Hee Wee Tan"": ""Chief Executive Officer- Construction Business"", ""Chan Teck Ho"": ""Director - Projects""}"
608,SOON LIAN HOLDINGS LIMITED,https://www.reuters.com/companies/SNLN.SI,"Soon Lian Holdings Limited is an investment holding company. The Company is a specialist supplier of aluminum alloy product. Its segments include marine, precision engineering, stockists and traders, and other customers. It supplies a range of approximately 1,300 aluminum alloy product for various specifications and dimensions to the marine, precision engineering and semiconductor industries. It also supplies to other aluminum stockists and traders, as well as customers in other industries. It provides customized products as part of its services and employs processing systems, such as Computer Numerical Control (CNC) plasma cutting system, CNC high precision bandsaw and custom-designed vertical saw, which allows cutting aluminum alloy products into various forms and dimensional specifications. It operates in Australia, Hong Kong, India, Indonesia, Malaysia, Philippines, People's Republic of China, Singapore, South Korea, Taiwan, Thailand, The United Arab Emirates and Vietnam.",Misc. Fabricated Products,"{""Yee Ho Tan"": ""Executive Chairman of the Board"", ""Yee Leong Sam Tan"": ""Chief Executive Officer, Executive Director"", ""Yih Hong Lee"": ""Group Financial Controller"", ""Chee Meng Loh"": ""Senior Human Resource & Administration Manager"", ""Ee Hoon Tan"": ""General Administrative Manager""}"
609,SOUP RESTAURANT GROUP LIMITED,https://www.reuters.com/companies/SRGLbi.SI,"Soup Restaurant Group Limited is a Singapore-based investment holding company. The Company operates restaurant in Chinatown focused on herbal soups and home-cooked dishes. The Company's segments include restaurants and food processing, distribution and procurement services segments. The restaurants segment sells food and beverage products to the general public through restaurant outlets. The food processing, distribution and procurement services segment processes, distributes and procures food and beverage products for sale to the operations of restaurants segment and to third parties. Its brands include Soup Restaurant, CAFE O and POT LUCK. At the Company's Soup Restaurant, it offers Chinatown heritage dishes, such as samsui ginger chicken, steamed minced pork and herbal soups. Its CAFE O is a coffee shop, which offers drinks and dishes, such as kopi O, teh tarik, nasi lemak and roti prata. Its POT LUCK offers zichar dishes in claypots prepared on the spot over charcoal fires.",Restaurants,"{""Tao Soon Cham"": ""Non-Executive Independent Chairman of the Board"", ""Wei Teck Wong"": ""Managing Director, Executive Director"", ""In Bee Chong"": ""Financial Controller, Company Secretary"", ""Khek Koon Then"": ""Executive Director"", ""Chi Keong Wong"": ""Executive Director""}"
610,SOUTHERN ALLIANCE MINING LTD.,https://www.reuters.com/companies/ALM.V,"Alliance Mining Corp is a Canada-based company engaged in the acquisition, exploration, and development of mineral properties. The Company owns the Red Rice Lake property located in the Bissett gold camp in Manitoba. The property is located close to the town of Bissett, Manitoba, Canada. The Red Rice Lake gold property claims are located within the Archean Rice Lake greenstone belt in southeastern Manitoba. The Red Rice Lake Gold property totals approximately 801 hectares (ha) and comprises four non-contiguous claim groups: the West claims, Packsack claims and CUPP claims.",Gold & Silver,"{""Scott Kent"": ""Chief Financial Officer, Director"", ""Christopher Ross Anderson"": ""President, Chief Executive Officer, Director"", ""Allan J. Beaton"": ""Independent Director"", ""Ben Catalano"": ""Independent Director""}"
611,SOUTHERN PACKAGING GROUP LTD,https://www.reuters.com/companies/SOUTta.SI,"Southern Packaging Group Limited is an investment holding company. The Company is engaged in the production of flexible and rigid packaging products for use in food, medical, personal grooming and household industries. Its segments are Flexible packaging, which manufactures plastic packaging bags with design supplied by the customers for the pharmaceutical industry, food and beverage industry, and hygiene industry, and Rigid packaging, which manufactures polyethylene terephthalate bottles together with printing of design onto the bottle for pharmaceutical industry, food and beverage industry, and hygiene industry. The Company within the flexible packaging arm utilizes plastic gravure printing technology, and within the rigid packaging arm utilizes one step injection stretch blow molding, injection molding, in-mold labeling, extrusion blow molding, injection blow molding, silk screen, printing, stamping and other additional services to produce packaging products for its customers.",Containers & Packaging,"{""Shun Ming Pan"": ""Executive Chairman of the Board, Chief Executive Officer"", ""Jin Bo Pu"": ""Deputy Chief Executive Officer"", ""Xiang Zhi Chen"": ""Executive Vice Chairman of the Board"", ""Shu ying Mai"": ""Chief Financial Officer"", ""Yong Hua Li"": ""Chief Operating Officer""}"
612,SP CORPORATION LIMITED,https://www.reuters.com/companies/SPPS.SI,"SP Corporation Limited is a Singapore-based investment holding company. The Company is engaged in the provision of management services to related companies. The Company's segments are Commodities Trading, Tyre Distribution, and Corporate and Others. Its Commodities Trading segment trades and markets a range of products, including coal, rubber, metals, as well as other commodities and products used by manufacturers in the energy, tire, metal and automotive industries in Asia. Its Tyre Distribution segment markets and distributes tires and retreading of tires. The Company, through its subsidiaries, is engaged in trading and marketing of industrial products; distribution of consumer products; distribution of tires; retreading of tires, and engineering contractor. It has operations in Singapore, China, including Hong Kong, Indonesia, Malaysia and Germany.",Coal,"{""Peter Sung"": ""Non-Independent Non-Executive Chairman of the Board"", ""William Liem"": ""Interim Executive Director"", ""Eng Khoon Lim"": ""Managing Director of Tyre & Auto Products Unit"", ""Yee Sin Tan"": ""Managing Director of Commodities Trading Unit"", ""Guat Huat Chua"": ""Company Secretary""}"
613,SPACKMAN ENTERTAINMENT GRP LTD,https://www.reuters.com/companies/SPACol.SI,"Spackman Entertainment Group Limited is an entertainment production company. The Company is engaged in independent development, production, presentation and financing of theatrical motion pictures in Korea. Its segments include distribution of films and production of films. Its films are theatrically distributed and released in Korea and overseas markets, as well as for post theatrical across the world release in other forms of media, including cable television, broadcast television, Internet Protocol television (IPTV), video-on-demand and home video/digital video disc (DVD). In addition to its film business, the Company also invests in entertainment companies and film funds. Its theatrical releases of motion pictures include THE PRIESTS, SNOWPIERCER and COLD EYES. The Company's three motion picture production and financing subsidiaries include Zip Cinema Co., Ltd. (Zip Cinema), Novus Mediacorp Co., Ltd. (Novus Mediacorp) and Opus Pictures Limited Liability Company (Opus Pictures).",Motion Pictures,"{""Wei Kit Wong"": ""Non-Executive Independent Chairman of the Board"", ""Kyoungwon Na"": ""President, Chief Operating Officer, Executive Director"", ""Jihwan Ko"": ""Chief Executive Officer"", ""Siew Ling Ng"": ""Group Financial Controller"", ""Eugene Lee"": ""Executive Director, Chief Producer""}"
614,SPDR DJIA ETF TRUST,NOT FOUND,N.A,N.A,N.A
615,SPDR GOLD SHARES,https://www.reuters.com/companies/GLD.DF,NOT FOUND,NOT FOUND,NOT FOUND
616,SPDR S&P 500 ETF TRUST,NOT FOUND,N.A,N.A,N.A
617,SPH REIT,https://www.reuters.com/companies/SPHR.SI,"SPH REIT is a real estate investment trust. The Company invests in a portfolio of real estate, which is used for retail purposes in Asia-Pacific, as well as real estate related assets. Its segments include Paragon and The Clementi Mall. Paragon is a retail mall and medical suite/office property. Paragon consists of a six-story retail podium and over one basement level with approximately 488,243 square feet of retail net lettable area (NLA) (Paragon Mall) with a 14-story tower and another three-story tower sitting on top of the retail podium with a total of over 223,096 square feet medical suite/office NLA (Paragon Medical). The Clementi Mall is a mid-market suburban mall. The retail mall houses a public library, which is part of an integrated mixed-use development that includes Housing & Development Board residential blocks and a bus interchange. The Clementi Mall consists of a five-story retail podium and one basement level with over 192,498 square feet of retail NLA.",Real Estate Operations,"{""Horn Kee Leong"": ""Non-Executive Independent Chairman of the Board"", ""Mee Yin Leng"": ""Chief Executive Officer"", ""Hsien Yiao Kuah"": ""Chief Financial Officer, Head of Investor Relations"", ""Qinyin Zheng"": ""Investment Manager"", ""Swee Hoon Phua"": ""Joint Company Secretary""}"
618,SPINDEX INDUSTRIES LIMITED,https://www.reuters.com/companies/SNEX.SI,"Spindex Industries Limited is a Singapore-based manufacturer, importer, exporter and dealer of mechanical, electrical and electronic parts. The Company's segments include Imaging and printing; Machinery and automotive systems, and Others (domestic appliances, consumer electronics, data storage, telecommunications, energy and others). The Company provides solutions for precision machined components and assemblies. The Company has manufacturing locations in Malaysia, China and Vietnam. It offers precision turned parts, such as shafts, mini shafts, sleeves and other components. The Company's subsidiaries are engaged in manufacturing and trading of mechanical, electrical, electronic parts, precision machine parts and other engineering materials. Its subsidiaries include Synturn (M) Sdn. Bhd., Spindex Precision Engineering (Shanghai) Co., Ltd., Spindex Precision Engineering (Suzhou) Co., Ltd. and Spindex Industries (Hanoi) Co., Ltd.",Misc. Fabricated Products,"{""Choo Pie Tan"": ""Executive Chairman of the Board"", ""Heok Ting Tan"": ""Managing Director, Executive Director"", ""Geok Cheng Orr"": ""Financial Controller"", ""Abdul Jabbar Bin Karam Din"": ""Company Secretary"", ""Chang Rong Chen"": ""Non-Executive Director""}"
619,SRI TRANG AGRO-INDUSTRY PCL,https://www.reuters.com/companies/STAf.BK,"Sri Trang Agro Industry Public Company Limited is a Thailand-based company engaged in the manufacture and distribution of natural rubber products, such as ribbed smoked sheets, concentrated latex, standard Thai rubber (STR) block rubber, gloves and other products. The Company and its subsidiaries also provide engineering and logistic services. The Company operates two business segments: natural rubber products and other businesses. Natural rubber products segment is related to the manufacture, sale and trading of ribbed smoked sheets, concentrated latex, block rubber, powdered and powder-free latex examination glove, escalator handrails, rubber injection-molded goods and high-pressure hydraulic hoses. Other businesses segment includes logistic services, research and development and information technology (IT) services. On September 9, 2014, the Company announced that it has established a new subsidiary in Myanmar, namely Sri Trang Ayeyar Rubber Industry Co., Ltd.",Fabricated Plastic & Rubber,"{""Viyavood Sincharoenkul"": ""Chairman of the Board, Managing Director"", ""Udom Pruksanusak"": ""Chief Executive Officer - Plantation"", ""Anusra Chittmittrapap"": ""Non-Executive Independent Vice Chairman of the Board"", ""Patrawut Panitkul"": ""Chief Financial Officer, Executive Director"", ""Chalermpop Khanjan"": ""Executive Director""}"
